instance,tw,detkdecomp
hypergraphs_Dubois-022.xml.hg,2,0.37
hypergraphs_Dubois-023.xml.hg,2,0.4
hypergraphs_Dubois-024.xml.hg,2,0.48
hypergraphs_Dubois-025.xml.hg,2,0.38
hypergraphs_Dubois-026.xml.hg,2,0.44
hypergraphs_Dubois-027.xml.hg,2,0.48
hypergraphs_Dubois-028.xml.hg,2,0.44
hypergraphs_Dubois-029.xml.hg,2,0.47
hypergraphs_Dubois-030.xml.hg,2,0.42
hypergraphs_Dubois-035.xml.hg,2,0.48
hypergraphs_Dubois-040.xml.hg,2,0.56
hypergraphs_Dubois-045.xml.hg,2,0.51
hypergraphs_Dubois-050.xml.hg,2,0.59
hypergraphs_dubois20.hg,2,0.42
hypergraphs_dubois21.hg,2,0.52
hypergraphs_dubois23.hg,2,0.45
hypergraphs_dubois25.hg,2,0.53
hypergraphs_dubois27.hg,2,0.55
hypergraphs_dubois28.hg,2,0.58
hypergraphs_dubois29.hg,2,0.4
hypergraphs_dubois30.hg,2,0.44
hypergraphs_flat30-1.hg,-1,TO
hypergraphs_flat30-99.hg,-1,TO
hypergraphs_grid2d_10.hg,4,56.97
hypergraphs_grid2d_15.hg,-1,TO
hypergraphs_grid2d_20.hg,-1,TO
hypergraphs_grid2d_25.hg,-1,TO
hypergraphs_grid2d_30.hg,-1,TO
hypergraphs_grid2d_35.hg,-1,TO
hypergraphs_grid2d_40.hg,-1,TO
hypergraphs_grid2d_45.hg,-1,TO
hypergraphs_grid2d_50.hg,-1,TO
hypergraphs_grid2d_60.hg,-1,TO
hypergraphs_grid2d_70.hg,-1,TO
hypergraphs_grid2d_75.hg,-1,TO
hypergraphs_grid3d_5.hg,-1,TO
hypergraphs_grid4d_3.hg,-1,TO
