instance,tw,gus_ip,triang_phyl_maxcomp,binred_ip_pp
phylogeny_ms_exp1_k_30_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_30_8.phy,58,TO,374.38,TO
phylogeny_ms_exp1_k_30_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_32_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_10.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_32_12.phy,15,30.88,12.16,TO
phylogeny_ms_exp1_k_32_13.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_32_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_32_16.phy,42,TO,956.86,TO
phylogeny_ms_exp1_k_32_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_18.phy,20,TO,1211.24,MO
phylogeny_ms_exp1_k_32_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_1.phy,2,22.49,8.36,MO
phylogeny_ms_exp1_k_32_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_32_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_32_4.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_5.phy,0,1657.19,297.33,MO
phylogeny_ms_exp1_k_32_6.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_7.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_32_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_32_9.phy,45,TO,1449.72,TO
phylogeny_ms_exp1_k_34_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_10.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_34_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_34_13.phy,7,1695.96,100.27,RTE
phylogeny_ms_exp1_k_34_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_15.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_34_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_34_17.phy,36,1730.4599999999998,404.39,TO
phylogeny_ms_exp1_k_34_18.phy,72,TO,1657.49,MO
phylogeny_ms_exp1_k_34_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_2.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_34_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_4.phy,0,5.84,2.96,MO
phylogeny_ms_exp1_k_34_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_34_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_7.phy,16,673.77,208.0,TO
phylogeny_ms_exp1_k_34_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_34_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_36_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_36_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_16.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_36_17.phy,52,TO,605.3,TO
phylogeny_ms_exp1_k_36_18.phy,24,TO,1342.68,MO
phylogeny_ms_exp1_k_36_19.phy,1,TO,1021.26,MO
phylogeny_ms_exp1_k_36_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_2.phy,10,TO,2224.82,TO
phylogeny_ms_exp1_k_36_3.phy,23,TO,2282.88,TO
phylogeny_ms_exp1_k_36_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_5.phy,58,TO,2650.07,TO
phylogeny_ms_exp1_k_36_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_36_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_36_9.phy,-1,TO,TO,MO
